Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
41,2.0,0.0,0.0,44.0,1.0,44.0,1725.0,0.1,29.360680577550553,0.0,0.0,367.3985993862152,,,,,,,,,,,,,,,,,,,,,9.701459488547762,9.087046389074418,28.991770910103767,0.13653540449656626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,89.0,2.0,45.0,1770.0,0.1,40.498015012184126,0.0,0.0,372.2388434410095,,,,,,,,,,,,,,,,,,,,,14.965343694006538,13.448899703472922,39.90434332826703,0.09204028348078314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,115.0,3.0,26.0,1796.0,0.1,20.423482899670443,0.0,0.0,375.3164985179901,,,,,,,,,,,,,,,,,,,,,7.096796333612664,6.973617523571273,20.279504925342266,0.06812632189499038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,153.0,4.0,38.0,1834.0,0.1,37.294365826489596,0.0,0.0,379.941113948822,,,,,,,,,,,,,,,,,,,,,14.48472706974487,12.648622495159065,36.817544469233304,0.08915823493053304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,180.0,5.0,27.0,1861.0,0.1,16.33982759704156,0.0,0.0,383.44326281547546,,,,,,,,,,,,,,,,,,,,,5.222786100697451,5.429624833629497,16.231258658380828,0.0548513614670345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,204.0,6.0,24.0,1885.0,0.1,16.342416098516154,0.0,0.0,386.44770407676697,,,,,,,,,,,,,,,,,,,,,5.358529813822773,5.590377057212868,16.24628771212093,0.03805878549618034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,273.0,7.0,69.0,1954.0,0.1,52.965465956050856,0.0,0.0,393.50984716415405,,,,,,,,,,,,,,,,,,,,,19.828107097852342,14.74164861247508,51.700676218058945,0.1708659827981804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,308.0,8.0,35.0,1989.0,0.1,31.12708659492843,0.0,0.0,397.6623857021332,,,,,,,,,,,,,,,,,,,,,11.830305128190297,10.587520153319312,30.774544229356255,0.09151426850044392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,330.0,9.0,22.0,2011.0,0.1,14.541374879028076,0.0,0.0,401.02152276039124,,,,,,,,,,,,,,,,,,,,,5.0402685176132715,5.051768643024507,14.459393298844976,0.04006312669778174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,350.0,10.0,20.0,2031.0,0.1,12.867407849388684,0.0,0.0,403.3797526359558,,,,,,,,,,,,,,,,,,,,,4.235105379331836,4.521789002992459,12.808309552597692,0.02727350500815269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,390.0,11.0,40.0,2071.0,0.1,33.99289230487491,0.0,0.0,407.6131639480591,,,,,,,,,,,,,,,,,,,,,12.913190867030835,11.045760656666662,33.543417962701106,0.10832579410340627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,449.0,12.0,59.0,2130.0,0.1,55.11076807670186,0.0,0.0,413.8712091445923,,,,,,,,,,,,,,,,,,,,,22.530462347533472,17.14102201161524,53.88919529960128,0.12268424346323235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,486.0,13.0,37.0,2167.0,0.1,31.493097482335276,0.0,0.0,418.2374892234802,,,,,,,,,,,,,,,,,,,,,11.502002676467189,10.542257583394523,31.129751757068366,0.08716335803909546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,519.0,14.0,33.0,2200.0,0.1,29.415033385522005,0.0,0.0,422.2078187465668,,,,,,,,,,,,,,,,,,,,,11.478120116722186,10.14214652182891,29.094415157570158,0.06282856350201549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,546.0,15.0,27.0,2227.0,0.1,17.229588781414527,0.0,0.0,425.4516513347626,,,,,,,,,,,,,,,,,,,,,5.792109202849674,5.787565715220271,17.10739952458723,0.05418339047066445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,619.0,16.0,73.0,2300.0,0.1,82.90163803936288,0.0,0.0,432.8310363292694,,,,,,,,,,,,,,,,,,,,,36.65218198447789,25.832377641425875,80.38672181139698,0.2002305225946176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,715.0,17.0,96.0,2396.0,0.1,87.66518868189492,0.0,0.0,442.0364785194397,,,,,,,,,,,,,,,,,,,,,37.93423674469039,24.101831399894248,84.191801365334,0.29047332842011464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,751.0,18.0,36.0,2432.0,0.1,31.64552298975456,0.0,0.0,446.0024049282074,,,,,,,,,,,,,,,,,,,,,11.650973542008606,10.809692001918348,31.288633921451225,0.0666173450038027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,846.0,19.0,95.0,2527.0,0.1,85.99607690588742,0.0,0.0,455.237101316452,,,,,,,,,,,,,,,,,,,,,42.40592024477645,26.418194084815305,82.13169574242276,0.28880375535220343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,875.0,20.0,29.0,2556.0,0.1,21.50186892613117,0.0,0.0,458.9961483478546,,,,,,,,,,,,,,,,,,,,,7.253478597331379,7.203801200137797,21.33416504272897,0.0647452622182995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,133.0,1.0,133.0,2689.0,0.1,136.42412648984472,0.0,0.0,567.441694021225,,,,,,,,,,,,,,,,,,,,,54.875822723604415,40.689663714039554,129.38428124581569,0.3630629009629131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,219.0,2.0,86.0,2775.0,0.1,79.8664119286915,0.0,0.0,576.1028442382812,,,,,,,,,,,,,,,,,,,,,32.519833799073226,23.088506699395698,77.22407715219849,0.2754663995894935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,251.0,3.0,32.0,2807.0,0.1,27.051269913410767,0.0,0.0,579.835774898529,,,,,,,,,,,,,,,,,,,,,9.95754358886126,9.19070228590365,26.786174080554236,0.07126575141298779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,338.0,4.0,87.0,2894.0,0.1,72.8805974540666,0.0,0.0,588.4422581195831,,,,,,,,,,,,,,,,,,,,,33.60296315398254,20.651981674548168,70.09726409058725,0.2342940287602766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,369.0,5.0,31.0,2925.0,0.1,24.844310215406672,0.0,0.0,591.8941597938538,,,,,,,,,,,,,,,,,,,,,8.601288065858917,8.484299014350265,24.626899457380343,0.06575584129503931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,396.0,6.0,27.0,2952.0,0.1,14.125126864156654,0.0,0.0,595.7093553543091,,,,,,,,,,,,,,,,,,,,,4.192496151779677,4.682938342352462,14.039995418900988,0.051420570126287625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,433.0,7.0,37.0,2989.0,0.1,23.124629283936734,0.0,0.0,599.8681135177612,,,,,,,,,,,,,,,,,,,,,7.503358757406425,7.289190607769755,22.89276765244993,0.07603566963826855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,503.0,8.0,70.0,3059.0,0.1,71.36822983135436,0.0,0.0,606.9950339794159,,,,,,,,,,,,,,,,,,,,,27.674508330128823,22.978214927629196,69.57008484785617,0.1782007695918087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,622.0,9.0,119.0,3178.0,0.1,127.63943888600534,0.0,0.0,618.5611605644226,,,,,,,,,,,,,,,,,,,,,53.07463547242703,36.70686792704755,121.56656883588951,0.3385028008872245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,724.0,10.0,102.0,3280.0,0.1,90.93383607055627,0.0,0.0,628.0311071872711,,,,,,,,,,,,,,,,,,,,,38.38039364626225,24.497615616080473,87.19333539609433,0.23647953332969066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,754.0,11.0,30.0,3310.0,0.1,24.801476085824664,0.0,0.0,631.9197790622711,,,,,,,,,,,,,,,,,,,,,9.082984924828107,8.458863873320938,24.57811819635434,0.08245311739772748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,799.0,12.0,45.0,3355.0,0.1,39.572281125626795,0.0,0.0,636.7118082046509,,,,,,,,,,,,,,,,,,,,,15.971829576553702,12.779799525375445,38.931372608526324,0.11221685876104415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,885.0,13.0,86.0,3441.0,0.1,71.22553956828503,0.0,0.0,645.1583480834961,,,,,,,,,,,,,,,,,,,,,29.62824179694195,19.399762763349138,68.8150721028816,0.223292561203579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
